countrycode,country,year,cn,cgdpo,pl_n,pl_gdpo
GRC,Greece,2021,2566738.25,319047.96875,0.3980017900466919,0.6842350959777832
GRD,Grenada,2021,8628.837890625,1637.9874267578125,0.5146222114562988,0.6854873895645142
GTM,Guatemala,2021,809323.3125,204554.9375,0.23903852701187134,0.4227658212184906
GUY,Guyana,2021,,17044.201171875,,0.4719792306423187
HKG,"China, Hong Kong SAR",2021,2487502.0,440061.6875,0.580117404460907,0.8384146094322205
HND,Honduras,2021,278521.75,63891.59375,0.26695579290390015,0.44050133228302
HRV,Croatia,2021,717594.4375,130916.0078125,0.3052492141723633,0.5279784798622131
HTI,Haiti,2021,454898.65625,35630.4609375,0.4122731387615204,0.5344791412353516
HUN,Hungary,2021,1954814.875,331579.5,0.3722743093967438,0.5527217984199524
IDN,Indonesia,2021,23252202.0,3435082.0,0.18523788452148438,0.34540942311286926
IND,India,2021,45347308.0,11613513.0,0.18823106586933136,0.27488449215888977
IRL,Ireland,2021,2331310.0,686363.25,0.5514681339263916,0.7740893959999084
IRN,Iran (Islamic Republic of),2021,8634985.0,1288334.375,0.25819846987724304,0.27790600061416626
IRQ,Iraq,2021,1684056.625,584104.0625,0.24042867124080658,0.35557296872138977
ISL,Iceland,2021,139516.640625,21015.16015625,0.7454932928085327,1.2288885116577148
ISR,Israel,2021,1331354.625,372511.9375,1.0013856887817383,1.322363018989563
ITA,Italy,2021,19507172.0,2849701.25,0.466951459646225,0.7647144794464111
JAM,Jamaica,2021,162469.921875,26265.3515625,0.4221697747707367,0.5580577850341797
JOR,Jordan,2021,712435.1875,108329.875,0.3016374111175537,0.42736226320266724
JPN,Japan,2021,29706136.0,5380121.5,0.9169139862060547,0.9357820749282837
KAZ,Kazakhstan,2021,2079950.625,630699.375,0.224179208278656,0.31252965331077576
KEN,Kenya,2021,652297.1875,284741.9375,0.3051507771015167,0.3852739632129669
KGZ,Kyrgyzstan,2021,207528.625,46861.0703125,0.13723653554916382,0.19737350940704346
KHM,Cambodia,2021,444840.0,101935.984375,0.18904483318328857,0.3547664284706116
KNA,Saint Kitts and Nevis,2021,12376.4970703125,1052.948974609375,0.4862532317638397,0.8154453039169312
KOR,Republic of Korea,2021,13986308.0,2795993.5,0.506403386592865,0.694677472114563
KWT,Kuwait,2021,840710.25,255901.6875,0.3693433701992035,0.5801416635513306
LAO,Lao People's DR,2021,234249.328125,57733.046875,0.22326509654521942,0.3303891122341156
LBN,Lebanon,2021,492057.59375,74459.25,0.36308977007865906,0.3313640356063843
LBR,Liberia,2021,20418.365234375,9356.5078125,0.3660757839679718,0.4408475458621979
LCA,Saint Lucia,2021,19231.822265625,3380.680908203125,0.4217141270637512,0.5523104071617126
LKA,Sri Lanka,2021,1074620.875,323288.09375,0.21101497113704681,0.2740878164768219
LSO,Lesotho,2021,24958.541015625,5164.2880859375,0.3531450033187866,0.46707892417907715
LTU,Lithuania,2021,491462.84375,116447.21875,0.39705443382263184,0.5756885409355164
LUX,Luxembourg,2021,306598.4375,64977.2421875,0.6570286750793457,1.317139744758606
LVA,Latvia,2021,504702.3125,62903.24609375,0.4479242265224457,0.6070454120635986
MAC,"China, Macao SAR",2021,235039.28125,28891.734375,0.5614829063415527,1.0719099044799805
MAR,Morocco,2021,1325512.75,325917.53125,0.3299388885498047,0.4357607364654541
MDA,Republic of Moldova,2021,155147.265625,45833.52734375,0.23789289593696594,0.29873043298721313
MDG,Madagascar,2021,139624.59375,47051.29296875,0.28690871596336365,0.3050868809223175
MDV,Maldives,2021,81650.0390625,10144.619140625,0.31487056612968445,0.5177580118179321
MEX,Mexico,2021,10393107.0,2510266.25,0.5425745844841003,0.524474024772644
MKD,North Macedonia,2021,172719.5625,39606.5859375,0.28035682439804077,0.35348373651504517
MLI,Mali,2021,83201.1875,51167.46875,0.35726115107536316,0.3773777484893799
MLT,Malta,2021,79427.125,24207.162109375,0.4529987871646881,0.8144959211349487
MMR,Myanmar,2021,1280550.125,428511.25,0.17841118574142456,0.22774381935596466
MNE,Montenegro,2021,55045.6328125,14813.5634765625,0.31815609335899353,0.39562496542930603
MNG,Mongolia,2021,211116.484375,43592.58203125,0.2309114634990692,0.3506662845611572
MOZ,Mozambique,2021,233400.296875,46434.015625,0.27985185384750366,0.34819427132606506
MRT,Mauritania,2021,106782.453125,25934.9453125,0.33210307359695435,0.3556027114391327
MSR,Montserrat,2021,945.1929931640625,104.77613830566406,0.65981525182724,0.6732873320579529
MUS,Mauritius,2021,117906.671875,29899.67578125,0.30687445402145386,0.38409608602523804
MWI,Malawi,2021,26412.833984375,36557.078125,0.3308878242969513,0.33859705924987793
MYS,Malaysia,2021,4084713.5,940874.5625,0.22125189006328583,0.39732417464256287
NAM,Namibia,2021,112364.0546875,26294.2578125,0.2810652554035187,0.4716804027557373
NER,Niger,2021,158643.03125,37660.35546875,0.3020247220993042,0.3960399031639099
NGA,Nigeria,2021,10090135.0,1113843.375,0.3355700671672821,0.3940642774105072
NIC,Nicaragua,2021,237416.71875,46532.21875,0.20918148756027222,0.3039625883102417
NLD,Netherlands,2021,5506097.5,1201645.375,0.6560912132263184,0.8775236010551453
NOR,Norway,2021,2174866.0,528298.0625,0.7963110208511353,0.9528106451034546
NPL,Nepal,2021,485373.5625,141524.203125,0.20075970888137817,0.26033815741539
NZL,New Zealand,2021,703719.4375,233868.359375,1.2511688470840454,1.0845592021942139
OMN,Oman,2021,1370707.75,201159.015625,0.23644357919692993,0.4341038763523102
PAK,Pakistan,2021,2057290.125,1318652.125,0.2116343080997467,0.2599250376224518
